app_name,start_time,end_time,duration_seconds,tags
Google Chrome,2025-07-29 02:55:23.927937,2025-07-29 02:56:23.944447,60.01651,
Google Chrome,2025-07-29 02:56:29.945540,2025-07-29 02:57:35.942091,65.996551,
Automated Productivity Tracker,2025-07-29 02:57:36.021502,2025-07-29 02:57:47.949115,11.927613,
main,2025-07-29 02:57:53.946751,2025-07-29 02:57:56.947862,3.001111,
Program Manager,2025-07-29 02:58:02.943132,2025-07-29 02:58:05.948094,3.004962,
System tray overflow window.,2025-07-29 02:58:06.052830,2025-07-29 02:58:11.946194,5.893364,
Automated Productivity Tracker,2025-07-29 02:58:14.943242,2025-07-29 02:58:20.947560,6.004318,
Save PDF Report,2025-07-29 02:58:21.039235,2025-07-29 02:58:26.947305,5.90807,
Automated Productivity Tracker,2025-07-29 02:58:29.945413,2025-07-29 02:58:53.948690,24.003277,
Automated Productivity Tracker,2025-07-29 02:58:56.951419,2025-07-29 02:59:02.946449,5.99503,
Google Chrome,2025-07-29 02:59:03.022364,2025-07-29 03:01:35.943751,152.921387,
Automated Productivity Tracker,2025-07-29 04:31:41.224998,2025-07-29 04:31:50.232287,9.007289,
Task Manager,2025-07-29 04:31:50.320541,2025-07-29 04:32:02.236499,11.915958,
main Properties,2025-07-29 04:32:02.391736,2025-07-29 04:32:26.223797,23.832061,
main Properties,2025-07-29 04:32:29.228107,2025-07-29 04:32:35.233802,6.005695,
Task Manager,2025-07-29 04:32:35.382436,2025-07-29 04:32:53.241204,17.858768,
Run,2025-07-29 04:32:56.251157,2025-07-29 04:33:02.240206,5.989049,
Task Switching,2025-07-29 04:40:49.441300,2025-07-29 04:40:52.453252,3.011952,
NVIDIA,2025-07-29 04:40:58.440845,2025-07-29 04:42:01.487828,63.046983,
NVIDIA Control Panel,2025-07-29 04:42:07.488341,2025-07-29 04:42:10.497298,3.008957,
Google Chrome,2025-07-29 17:53:40.194379,2025-07-29 18:01:01.895912,441.701533,
