app_name,start_time,end_time,duration_seconds
Automated Productivity Tracker,2025-07-28 12:54:44.560454,2025-07-28 12:55:23.570756,39.010302
VS Code,2025-07-28 12:55:23.570756,2025-07-28 12:55:38.574247,15.003491
Automated Productivity Tracker,2025-07-28 12:55:38.574247,2025-07-28 12:55:47.576001,9.001754
Save CSV File,2025-07-28 12:55:47.576001,2025-07-28 12:55:53.577356,6.001355
Task Switching,2025-07-28 12:55:53.577356,2025-07-28 12:55:56.578364,3.001008
Google Chrome,2025-07-28 12:55:56.578364,2025-07-28 12:57:05.591673,69.013309
Task Switching,2025-07-28 12:57:05.591673,2025-07-28 12:57:08.592096,3.000423
No Role Modelz,2025-07-28 12:57:08.592096,2025-07-28 12:57:32.595883,24.003787
Bye,2025-07-28 12:57:32.595883,2025-07-28 12:57:38.597028,6.001145
VS Code,2025-07-28 12:57:38.597028,2025-07-28 12:57:41.597310,3.000282
Automated Productivity Tracker,2025-07-28 12:57:41.597310,2025-07-28 12:57:47.598113,6.000803
Task Switching,2025-07-28 12:57:47.598113,2025-07-28 12:57:50.598990,3.000877
Automated Productivity Tracker,2025-07-28 12:57:50.598990,2025-07-28 12:57:53.599210,3.00022
Task Switching,2025-07-28 12:57:53.599210,2025-07-28 12:58:02.600913,9.001703
Automated Productivity Tracker,2025-07-28 12:58:02.600913,2025-07-28 12:58:08.601930,6.001017
Google Chrome,2025-07-28 12:58:08.601930,2025-07-28 13:03:38.663056,330.061126
File Explorer,2025-07-28 13:03:38.663056,2025-07-28 13:03:41.663795,3.000739
